非公開,質問,回答,質問者,回答者,日付,Discord元リンク,回答数
,はじめまして。 今日ビフォー撮影会に参加する予定ですが、あらかじめ準備しておくこととかありますか？ 慣れなくてもたもたしてしまいそうで心配です😅,"【タイチ】
初めまして！
本日はよろしくお願いいたします😊

ご準備いただくものは、ヨガマットとiPhoneがあれば基本的に大丈夫です👌
ただ、スマホ以外に別端末がある場合は、2台使っていただくと撮影がしやすくなります！

例
・パソコンでZoomに参加
・iPhoneは撮影用カメラとして使用",なつき822420,タイチ,2026-03-13,https://discord.com/channels/1441619538293686387/1444479247669530664/1481958805796421714,1
,こんにちは。最近入会させていただき、何もできないところからもがいております。  長座の時に骨盤が立てられないです(座骨で座れない)。立てようとすると、前もも付け根に力が入ってしまいます。膝を一定曲げても解決しきれません。何から着手すればいいか教えていただけませんでしょうか。 よろしくお願いします🙇‍♀️,"【タイチ】
大変お待たせしてます！
ご質問ありがとうございます🙏

まず、骨盤を立てようとする時に「10の力で一気に起こす」のではなく、3〜5くらいの力でじわっと起こす意識を持ってみてください！
前ももに力が入るのはフルパワーでアウターを使うことが原因のことが多いです！

次に、長座で骨盤が立たない大きな原因は
足裏〜ふくらはぎ〜もも裏（坐骨まで）の硬さなので
①ダウンドッグ
②前屈（立位）
このあたりのアーカイブを優先的に取り組んでみてください！

その上で、
内転筋・腸腰筋・腹横筋も一緒に使えるようにしていくと良いので上記の筋肉に関連付いたタイトルのアーカイブに取り掛かってみて下さい！

続けていけば必ず変わるので、安心してコツコツ積み上げてみて下さい🙂‍↕️",信夫咲希,タイチ,2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482136412571828376,1
,zoom待機中で画面出ません(>_<),"【いくよ🧸763352】
なつきさん、たぶんURLが違っています、私もさっき間違えたので😅ひとつ上の、昨日夜の投稿のURLからはいれます！

---

【Kyoko 765396】
私も今日は入れず（ずっと待機中）ズームアプリをインストールし直したら入れました。",なつき822420,"いくよ🧸763352, Kyoko 765396",2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482163951017136138,2
,本日の質疑応答zoomに質問したものをコピペします。  体が硬すぎてピジョンのポーズで等で後ろ手で足が掴めません。 アイテム使って補助の仕方をレッスン内でも都度アナウンスしていただけないでしょうか。  水曜日のレッスンで右側の鼠蹊部が痛くなってしまいました。初日は痛くなくじわじわ痛くなってきて昨日はじっとしてても痛かったです。 腸腰筋というか…恥骨筋？そんな感じがしてます。 そんな時はやらない方がいい？もっと伸ばした方がいいですか？,"【タイチ】
お返事遅くなりました！

ピジョンの補助動作は、可動域チェックの時の内容ですよね？
補助を使ったレクチャーについて、次回からしっかりアナウンスしますね！

あと、鼠蹊部の痛みはその後いかがでしょうか？🤔
今回の痛みはおそらく、
「伸ばすこと」を優先しすぎたことが原因の可能性が高いです。

大事なポイントとして
①伸ばすことを目的にすると痛めやすい
②必ず“収縮（使う意識）”をセットにする

今回のアーカイブでいうと、
・内転筋
・大臀筋
このあたりを使いながら行うのが大切です！

もしまだポーズをした時に痛くなる場合は無理に伸ばさず、
軽めに動かす or 一度休む判断でもOKです！

どのポーズで痛めたか、またできればそのポーズの状態を動画などで教えていただけたら、そこからさらに細かくお伝えできるのでおっしゃって下さい！",ゆきえ821697,タイチ,2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482181915292336159,1
,質疑応答LIVEの際の質問です⬇  3ヶ月前くらいから四十肩？で右の三角筋がポーズを取ると痛いです。 アーカイブの動画でポーズを取る時に痛くて、他の伸ばすべき箇所が伸びてるのかわからないくらいです。 ネットでは『安静に』と書かれていましたが、ストレッチやリリース等した方が良いですか？,"【タイチ】
お返事遅くなりました！

現時点でお伝えできることとしては三角筋というよりも肩関節の使い方や周りの硬さが影響している可能性が高いです！

なのでまずは
①上半身特化の筋膜リリース（肩まわり）
②肩甲骨まわりのアーカイブ

もしまだお困りのようであればここから始めてみてください！

どのポーズで痛みが出るかによって対処がかなり変わるので、
もし可能であれば実際の動き（動画）を送っていただけると、より正確にアドバイスできます！",shigu822107,タイチ,2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482212025739378801,1
,3／14質疑応答Liveの際の質問  横開脚の時に床に手を付くと背が丸まるのでブロックを使っても良いですか？ 20分30分で出来る鼠蹊部と薄筋の硬さを取るアーカイブがあれば伺いたいです,"【タイチ】
お返事遅くなりました！

横開脚の際に背中が丸まってしまう場合は、
ブロックを使ってOKです！

むしろ、背骨は軽く反らせる（丸めない）意識が大切なので、高さを作れるブロックはかなり有効です🙆‍♂️

30分ほどのアーカイブとしては

・下半身の筋膜リリース（鼠蹊部）
・30分 股関節×骨盤リセットクラス（鼠蹊部＋薄筋）

このあたりが効果的かなと思います！
まずはリリースで緩めてから、
動きの中で使えるようにしていく流れでやってみてください！",Azusa765175,タイチ,2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482213769424932894,1
,撮影会の時に気づいたのですが、正しく立つとは、両足をどのように付けたら良いんですか？  左右の足の親指をつける、左右の踵をつける、左右の足の親指と踵の両方を付けて立つ、どれが正解なんでしょうか？,"【タイチ】
深いテーマですね🤔
「どれか1つが絶対の正解」ではなく、目的によって使い分けるのが正解だと思います！
ただし、正しく立つ（ニュートラル）という意味では基準があって

①両足はこぶし1個分くらいの間隔
②つま先はやや正面〜ほんの少し外
③体重は母指球・小指球・かかとの3点に均等

これが撮影時に意識させたい立ち方です！

それぞれの立ち方の意味は

① 親指〜かかとをつける

・内もも（内転筋）を使いやすい
・骨盤が安定しやすい
・お尻（後部 大臀筋）を使いやすい

②小指＋かかとつける

・お尻(中臀筋)を使いやすい
安定しやすくなる

ただしこれをずっお日常で意識するのは難しい+逆にロボットのようにカチカチになるので

・股関節がロックされ、骨盤が動きにくくなる
・無意識にどこかに力が入る

なので正解は1つじゃなく
目的で使い分けることが大切です！",Tako🥳,タイチ,2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482217113903960115,1
,ビフォー撮影会に参加しました。 全身、絶望的な柔軟性のなさでした😂  撮影会での19種類のポーズについて質問です。 それぞれのポーズの柔らかさにつながるおすすめの動画（アーカイブ番号など）があれば教えていただくことは可能でしょうか？🙇🏻‍♀️  動画がとても豊富で、どれを選んで取り組めばよいのか悩んでしまって…💦 まずは教えていただいたものから取り組みたいと思っています！  伸びしろしかないと思って、コツコツ頑張ります！ 何卒よろしくお願いいたします✨,"【タイチ】
お返事遅くなりました🙇‍♂️  
撮影会ご参加ありがとうございました！

まず大前提として、全部を一気に改善しようとするよりも「順番」がすごく大事だと思っています😊

おすすめの流れは

① ダウンドッグ・前屈  
② 縦開脚  
③ 後屈（ブリッジ・ピジョン）  
④ 横開脚  
⑤ Y字・倒立系

です！

アーカイブも、まずはその順番でタイトル通りに進めていただければ大丈夫です🙆‍♂️

特に最初は  
「ダウンドッグ」「前屈」「股関節×骨盤リセット」系を中心に進めていくのがおすすめです✨

そしてクラス中でもお伝えしていますが、最初のダウンドッグ・前屈では  
腸腰筋、内転筋、腹筋のインナーがかなり重要になります！

要は、
・伸びる部位の“拮抗筋”を鍛えること  
・伸びる部位自体も鍛えること

この両方が必要です🔥
なので、ふくらはぎ・もも裏のトレーニングも合わせて行っていくとかなり変わりやすいと思います😊

今ちょうど、この順番で進められるロードマップも準備中なので、完成したらぜひ参考にして下さい🙂‍↕️",aki821717,タイチ,2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482225664869535766,1
,3/14の股関節特化 開脚クラスの質問です  開脚して前に倒れようとすると、左側のお尻と腿の境目(横側)が痛すぎてそれ以上倒れることができません😢 右脚の痛みはないので左右差があるのだと思いますが、この場合はどこにアプローチするのがいいでしょうか？,"【タイチ】
お返事遅くなりました🙇‍♂️

左右差がある場合、原因としては

・左足の内腿が使えていない  
・左足首が90度になっていない  
・左股関節の内旋が足りていない  
・もも裏の筋力不足

この辺りが考えられるかなと思います😊

特に足首90度はすぐ取り組める内容なので、まずそこから意識してみてください！

それでも改善しない場合は、開脚中に  
「脚を閉じようとする力」を軽く入れてみて下さい！

イメージとしては、
1〜10で表した時の “5” くらいの力感です！

内腿が使えるようになると、痛みが減るケースはかなり多いので一度実践下さい！

---

【あみ_782401】
タイチさん、返信ありがとうございます‼️

足首90度は自分でできてるつもりでしたが前に倒れているとじわじわ足首が緩んでいることがわかったのでまずは90度を意識してみたいと思います。
内腿も弱い自覚があるのでそこも使えるよう意識してみます😊",あみ_782401,"あみ_782401, タイチ",2026-03-14,https://discord.com/channels/1441619538293686387/1444479247669530664/1482351077117661185,2
,いつもありがとうございます😊 脂肪燃焼ブートキャンプ🔥に登録したのですが、何もお知らせなど来ない感じですか？始まるまで待っていれば大丈夫でしょうか？,"【タイチ】
はるさん申し込みありがとうございます！
招待されたグループに今日から発信していくので案内をお待ち下さい！✨

---

【はる782206】
タイチさん、お返事ありがとうございます😊待ってます♪",はる782206,"はる782206, タイチ",2026-03-15,https://discord.com/channels/1441619538293686387/1444479247669530664/1482551860224331816,2
,3月から入り、みなさんの投稿などで刺激をもらい、 素晴らしい環境に感謝しています。ありがとうございます。  今日はのんびりやろうとしていたのに、全然できず、笑っていますが、 ここで質問です。  【質問】 No.44 骨盤の安定〜肩の開きを深める〜 https://www.youtube.com/watch?v=euGjAgXFxvg をやっていて、 56:55くらいからのところでですが、 背中に効くはずが、 ①腕を耳まで上げることが全然できず、 ②背中に効かず、腰ばかりに力が入ります。  現状 かかと同士を押し合い、お尻に力は入れられるけれど、 腕を耳の位置まで上げることが全然できず、 上げようとすると腰に力が入る感じ。   ①②を克服するにあたって、 どのようなトレーニングをしていったらいいですか？,"【タイチ】
お返事遅くなりました！
ご質問ありがとうございます😊

まず大前提として、腕は耳の高さまで上がらなくても背中には効くので、現段階では無理に上げなくて大丈夫です！

そして、いきなり “10” の力で腕を上げようとすると、かなり腰に入りやすくなります！

なので今のお尻の意識はそのまま使いつつ、
まずは「お腹を薄く保つ」ことを優先してみて下さい✨

イメージとしては

・恥骨を床に軽く押し付ける
・床と下腹の間に5mmほど空間を作る
・腰ではなく下腹とお尻で支える

この状態を保ったまま、
まずは “3” くらいの力感で腕を上げようとしてみてください😊

すると、腰ではなく「背中から腕が浮く感覚」が少し分かってくると思います！

そこから徐々に
3→5→6→7…
と出力を上げていきながらも、

「背中から上がる感覚」を優先して集中してみてください🔥

続けていくと、腰を使わなくても自然と腕が耳横まで上がりやすくなってきます！",れいこ,タイチ,2026-03-15,https://discord.com/channels/1441619538293686387/1444479247669530664/1482572820121649232,1
,30分の夜ヨガを 動画を見ながらやったことがあるのですが、探しても探してもその動画にたどり着けなくなってしまいました(>_<)  URLをご共有いただけたら大変助かります,"【Kaori 763784】
https://youtu.be/9LjXoJXxCYo?si=A1Oa_bejYUnfNpEB

こちらでしょうか？

---

【Tomoyo821741】
ありがとうございます！はいこちらです✨
大変助かりました！",Tomoyo821741,"Kaori 763784, Tomoyo821741",2026-03-17,https://discord.com/channels/1441619538293686387/1444479247669530664/1483465168225828945,2
,2025年12月に入会した者です。 X脚やＯ脚に悩むサロン生に特化したメニューを年末に準備しておられ、大変心待ちにしていました。 延期された後、改めての連絡を見つけることができず、ずっと気になっていました。 その後、進捗はどのようになっておられますか？ 質問の場が違っていたら申し訳ありません。,"【タイチ】
かずさん

ご連絡いただきありがとうございます！
また、年末から気にかけてくださっていたこと、本当に嬉しく思います。

X脚・O脚に特化したメニューについてですが、
当初出す予定だった内容から、
「もっとこうした方がいい」という自分の中での考えが出てきて、現在もブラッシュアップを続けている状態です。

その分、ご案内が遅くなってしまい申し訳ありません。

ただ、しっかりと変化につながる内容としてお届けしたいので、
もう少しだけお時間をいただけると嬉しいです🙇‍♂️

改めてご案内させていただきますので、楽しみにお待ちいただけたら嬉しいです。",かず764793,タイチ,2026-03-24,https://discord.com/channels/1441619538293686387/1444479247669530664/1485901052673785907,1
,レッスンについての質問でなくて申し訳ないのですが…💦  リアクションのボタンが押せないコメントがあるのですが、どのように改善できますでしょうか？🙇‍♀️  コメントの長押しでリアクションが表示されるコメントと、されないものがあります。 添付されている画像を押すとマークは出るものの，リアクションはできない…などです💦  ブートキャンプの皆さんのコメント見てもリアクションができずにいます😢  何か原因、解決法など教えていただけましたら幸いです。 よろしくお願いいたします🙇‍♀️,"【タイチ】
ご質問ありがとうございます😊

こちらの現象ですが、
Discordの仕様やスマホアプリ側の不具合によって起きることがあるものになります🙇‍♂️💦

特にスレッド内や画像付きの投稿では、
・長押ししてもリアクションが出ない
・表示は出るけど押せない
といったことが起きる場合がたまにあります💦

対処方法としては以下をお試しください！

・アプリの再起動
・Discordを最新版にアップデート
・一度ログアウト→ログイン
・可能であればPCから試す


それでも改善しない場合は、
携帯や回線の不具合の可能性が高いです🙇‍♂️

---

【おつな70757】
リアクションの件、改善された…かもです！
今日リアクションできました✨

ありがとうございました🙇‍♀️✨

---

【みーこ】
この症状私も何やっても続いてました…💦
が、
レベル上がったらリアクションできるようになりましたー！✨😆
ある程度リアクションの限度とかあるのでしょうかねぇ。。？？😢

---

【おつな70757】
昨日は全くできなかったんですが，私も同じくレベル上がったからなのか？できるようになりました👏✨
何が原因なのでしょうね…🤔",おつな70757,"みーこ, おつな70757, タイチ",2026-04-02,https://discord.com/channels/1441619538293686387/1444479247669530664/1489030153802612756,4
,タイチさん お世話になっております。 今日開催される「股関節を柔らかくする絶対要素を知るクラス」にぜひ参加したいのですが、お仕事で参加ができずアーカイブの配信などはしていただけますでしょうか？ なかなかオンラインで受講ができず、アーカイブ頼りになってしまっていて申し訳ないです🙇 よろしくお願いいたします。,"【タイチ】
もちろん本日のクラスはアーカイブを残しますのでご安心ください✨

お仕事などでリアルタイム参加が難しい方がほとんどだと思います。
それでもしっかり学んでいただけるようにしていきますのでご安心ください

ご自身のペースでご活用くださいね😌

---

【Naoko 820702】
タイチさん
お忙しい中、お返事いただきありがとうございます🙇
今まで行ったパーソナルヨガも忙しくて時間がとれないことが本気で変わる姿勢がないと言われ、かなり答える時もありましたが、お言葉にとても救われます😭
リアルタイムで参加できない方もアーカイブで取り組んでいらっしゃるのを知り、とても励みになります！
引き続き、よろしくお願いいたします🙇",Naoko 820702,"Naoko 820702, タイチ",2026-04-02,https://discord.com/channels/1441619538293686387/1444479247669530664/1489059884363157504,2
,横開脚練習時にやはり右足の内腿がピキピキ痛んでおり、原因が膝下からの捻れからきているのではないかと思います。 捻れでこのような事が起きる可能性はありますか？ また、この膝下からの捻れの改善ストレッチなどあれば教えていただきたいです！ 普段から気付けば右のつま先が外側に向いています、意識がある時はつま先真っ直ぐに戻すなどをしていて、開脚練習時も気をつけはするのですが、自分の中で他にも気をつけるところが沢山あり捻れから意識が離れてしまうことがあります😂,"【タイチ】
膝下の捻りも多少関係あるかなとは思いますが、開脚する時に骨盤前傾は入っていますか？🤔
少し丸くなっていませんか？
もしかしたら今日やるクラスで意識する「坐骨を後ろへ押し上げる」ことで改善されるかもしれません😌

一度どのように開脚しているか確認してみて下さい！

---

【ひ782024】
回答ありがとうございました！
今たいち先生のレッスンやっててわかりました！
かかとを床に押し付けが足らず、足首も手で押すと倒れるくらいに力が入っていませんでした🤣
そしてイラスト付きほんとにわかりやすいです！
坐骨！坐骨ー！
本日も勉強になりました😆！
質疑応答聞きながらの投稿🤣",ひ782024,"ひ782024, タイチ",2026-04-02,https://discord.com/channels/1441619538293686387/1444479247669530664/1489197262184644680,2
,あと、法則として気づいたのは、 誰かがリアクションしていたら、そこにはリアクションできるんですけど、 誰もリアクションしてないやつは長押ししてもリアクションできない。。💦 添付画像あっても無くても…😢,"【おつな70757】
わかります！
ただ、他のチャンネルのコメントのリアクションはできたんですよね…
仕様のせいなのか、何なのでしょうね💦",みーこ,おつな70757,2026-04-03,https://discord.com/channels/1441619538293686387/1444479247669530664/1489467501397151856,1
,ストレッチボールでお尻をほぐす時に痛いと力が入ってしまいます。力が入った状態だと上手くほぐれませんか？,"【タイチ】
MAMIさん

結論から言うと
力が入った状態だとほぐれにくいです！

理由はシンプルで、
筋肉は力が入っていると緩めることができないからです💪

痛すぎると
無意識に力が入ってしまい逆効果になります！

🔽意識すること

・呼吸を止めない（ゆっくり吐く）
・力が入るなら少し圧を弱める
・乗る位置を微調整する

“力が抜ける位置”を探しながらやってみて下さい！",MAMI,タイチ,2026-04-04,https://discord.com/channels/1441619538293686387/1444479247669530664/1489759194306576574,1
,4/2の股関節を柔らかくするレッスンに参加しました。骨盤前傾の感覚は分かるし、ボールも少し押し上げることもでたのですが、後傾に比べ前傾の可動域がなく、あまり動きません。こういう場合ボールに乗って前傾後傾を地道に繰り返していれば可動域も広がるのでしょうか？  最後になりましたが、新米パパさんおめでとうございます㊗️子育てを楽しんでください🎶,"【タイチ】
TGMさん
レッスンのご参加ありがとうございました！
そして温かいお言葉もありがとうございます😊


ご質問の件ですが、
前傾の可動域が少ないのはよくある状態で問題ありません👌

骨盤前傾を広げるには「坐骨を上に引き上げ続ける力」をつけることが大切です！

なのでおすすめとしては

① 前屈で坐骨を引き上げる練習
→ 開脚だけではこの力はつきにくいので
まずは前屈でしっかり練習するのがおすすめです！

② お尻を使う感覚を身につける為に、**アーカイブ「57」**でお尻を使って開脚する方法を解説しています👌

ボールでの前傾後傾もすごく良いので続けつつ、
お尻を使って「坐骨を上げる力」を意識して取り組んでみてください🔥

ここがわかると前傾が変わってくると思います！

---

【TGM 415378】
タイチさん
お忙しい中アドバイスありがとうございます！
アーカイブ57やってみます。

ゆうひさんのご質問も私の悩みの一つでした。Y字バランスの軸足の腰とお尻辺りが引っ張られる感覚！29もやってみます。
やることいっぱい😅
4/25のレッスンも楽しみにしています。",TGM 415378,"TGM 415378, タイチ",2026-04-04,https://discord.com/channels/1441619538293686387/1444479247669530664/1489784941230428322,2
,ポイント制導入嬉しいです🥰 質問なんですが、ライブレッスン参加している時は自動でポイント付くんでしょうか？😅 2日木曜日のタイチさんのライブレッスン前の「ポイント制度のミニ解説」で説明されてたかもしれないですが、 その時は遅れて参加したので、その質問や説明が出てたか分からなくて…  遅れて参加した時には皆さんがDiscordの名前とMOSHIDをメッセージ打ってたので、 同じようにしてみたのですが、毎回それも必要なのか教えていただけたら…😢,"【なな426430】
もしかしたら解決済みかもしれませんが、横からお返事失礼します。

ライブレッスン参加のポイントは、運営さんが手動でつけてくださっています。そのため、ライブレッスンのたびに、チャットに各自でDiscord表示名(省略せずにそのまま)を入力する必要があります。途中退室の場合もポイントはつきますが、最短でも20分の参加が必要です。

---

【みーこ】
ご丁寧に教えてくださってありがとうございます！☺️
ちなみに…なんですが、
アーカイブはポイント付く。とかって
どこか質疑応答で出てきましたでしょうか？
もうどこを探しいいのか分からないくらい項目が沢山あるので分からなくって…😢

---

【なな426430】
アーカイブ視聴自体はポイントにはなりません。運営さん側でポイントをつける手段がそもそも難しいようです。

なので、「アーカイブ視聴をした後に感想レポートを書いて、そこでポイントを貯める」のがお勧め、とのことでした。場合によっては、ビフォーアフターや気づきでもよいと思います。

ご参考までに😌

---

【みーこ】
ななさん！✨
またしてもお答えくださり、ありがとうございます😊
オススメまで教えていただいて…🥰
お互いポイ活頑張りましょうね〜😆",みーこ,"なな426430, みーこ",2026-04-04,https://discord.com/channels/1441619538293686387/1444479247669530664/1489879154550640662,4
,前屈をする際に足首や脛が痛くなります。 改善方法などあれば教えていただけると嬉しいです。,"【タイチ】
はるかさん

前屈時の足首や脛の痛みは、
前側が頑張りすぎている状態なのでまずはリリースからやってみてください！👍


おすすめとしては、
【下半身特化の筋膜リリース】
→ 脛のリリースがあるのでしっかりほぐす！

アーカイブ「60」
股関節を柔らかくする絶対要素を知るクラス

このクラスでは裏側の伸ばし方がわかります！👌

ぜひ試してみてください！

---

【はるか821818】
タイチさん
ご回答ありがとうございます！
早速今夜リリースやってみます👍",はるか821818,"はるか821818, タイチ",2026-04-04,https://discord.com/channels/1441619538293686387/1444479247669530664/1489990102599077989,2
,タイチさん、ブリッジのレッスンありがとうございました。あんなにしっかり準備も教えてもらったのに、やっぱり全然腕が伸ばせませんでした。  ブロック使って練習していますが、写真のところからひざ裏伸ばそうとしても頭の血管切れそうになるだけでした😅  どこを意識したらいいでしょうか？,"【タイチ】
しのさん
ブリッジナイスチャレンジです👏✨

今の状態だと膝裏（ハムストリングス）がまだ伸びきっていないので
→ 体幹がしっかり使えない
→ 代わりに首（僧帽筋）で無理やり上げようとしている状態です😓
それで頭に血が溜まる感覚が出てしまっています💦

まずやるべきことはシンプルで
膝裏をしっかり伸ばせる状態を作ることです！

ここができるようになると
首に頼らずブリッジが上がるようになります👌

おすすめのアーカイブ「51」 → 膝裏・ハムの改善に◎

あとは今日のダウンドッグクラスで
僧帽筋のリリース＋正しい使い方もやるので
ここで土台を作るのがベストです！

その上で改めて「61」のブリッジクラスを再挑戦してみてください👍",しの822525,タイチ,2026-04-05,https://discord.com/channels/1441619538293686387/1444479247669530664/1490207300428759132,1
,レッスンリクエストってこちらでしたっけ？違ったら投稿し直します💦 タイチさんの【ねじり】と【Y字バランス】のレッスンを受けてみたいです！ ポールの技でネックになりがちな柔軟要素でして、Y字バランスはちょっと上級者むけですが、そこに向けたストレッチは他の部位の柔軟性にも生きると思うので、Y字の手前のステップだけでも、是非お願いしたいです🙂‍↕️❤️  私の状態としては、横開脚で側屈した時足に耳が付くくらいは行けるのですが、Y字バランスになると、上げる足と反対側の腰のあたりの筋が引っ張られてのびきらず、軸足がフラフラしてまっすぐできずにきれいなY字ができない状態です🥲 体側の柔軟でも脇下より腰付近が特に引っかかることが多く、ほぐしたりはしているのですが、そのあたりへのアプローチ方法を教えて貰えるとありがたいです🙂‍↕️  ねじりは、うまく言語化できてないのですが、ある程度柔軟はできるものの【使う】要素がイマイチわかってなくて、深めるきっかけがほしいなぁと思ってのリクエストです。  よろしくお願いします🙇🍀,"【タイチ】
ゆうひさん
リクエストありがとうございます！🙏✨

Y字バランスに関しては、
ちょうど4/25に基礎作りのレッスンを予定しています！

今おっしゃっている
反対側の腰が引っ張られる感覚によって軸足が安定しない腰横の筋肉・筋膜が硬い状態なので
筋膜リリースは腹横筋側転&大腿筋膜張筋をほぐすと良いです！上半身＆下半身リリース編で出てきます！

あとは筋肉へのアプローチは側屈がかなりオススメです！
側屈を単体でおこなうのも良いですし、49のアーカイブクラスを受けて頂いても良いと思います👍


ねじりに関してもリクエストありがとうございます！

まずは今あるアーカイブだと
**「29：背骨を動かすクラス」**がねじりを中心に構成されているので一旦そちらがおすすめです！

今後のクラス展開にも参考にさせて頂きます☺️

---

【ゆうひ765552】
タイチさんありがとうございます🥹✨
なんと！すでに予定頂いてたとは！
4/25楽しみにしております🥰
ああ〜腰横硬いと思います😅特に腰の下の方⋯スワンでも腰横つっかえる感じがあるので💦ほぐします！筋膜リリースとLesson49とか29やります！！
ねじりレッスンもいつか楽しみにしております❤️",ゆうひ765552,"ゆうひ765552, タイチ",2026-04-05,https://discord.com/channels/1441619538293686387/1444479247669530664/1490224072435437618,2
,先日スワンのポーズのレッスンで撃沈しました。 スワンのポーズをとったときに前の足がマットの横の辺と全然平行にならないし、後ろ足もマットとの距離が遠すぎて、体が起こせません。 スワンに行く以前に、アーカイブ動画でこれやるといいっていうレッスンはありますか？,"【タイチ】
まつさん
スワン最初はかなり難しいですよね😌

おっしゃっている状態は、
股関節や骨盤のコントロールがまだ整っていない段階なので全然心配しなくて良いです！


まずは基礎作りとして
アーカイブの「59・60」のクラスがおすすめです！

ここで土台を作っていくと、
スワンの形もかなり取りやすくなります👌

そして少し慣れてきたら、
スワンは“スワンで練習する”のもすごく大事です！

なので「58」のクラスもぜひ繰り返しやってみてください！

焦らなくて大丈夫なので
基礎→実践を繰り返して少しずつ近づけていきましょう☺️",まつ820778,タイチ,2026-04-05,https://discord.com/channels/1441619538293686387/1444479247669530664/1490271249169907723,1
,いつも丁寧なお返事をありがとうございます🥹  わたしは酷い肩凝りで、酷いときは首から後頭部までも痛くなって気持ち悪くなるほど。 それを解消したくヨガをやっているのもあるのですが、酷い時よりはよくなっては来てますが、まだ僧帽筋がガチガチです😭 なので、腕を上げる時など肩が引っ張られるように上がってしまいます😢 これでも、ヨガをやる前よりはだいぶ上がるようになりました😊 でも、このガチガチを取り除きたくて🙏 どうすれば解れていくでしょうか？😣,"【タイチ】
はるさん
いつもありがとうございます😊

肩こり辛いんですね。
ヨガで改善してきているのはすごく良い変化です👏

そちらは僧帽筋が頑張りすぎている状態なので
一度しっかりリリースして緩めることが大切です！

特に
✔ 肩まわり
✔ 首の付け根
ここを緩めるとかなり変わります👌


ちょうど今日のクラスで
肩首のリリース＋正しい使い方やるので
お時間合えばご参加下さい！",はる782206,タイチ,2026-04-05,https://discord.com/channels/1441619538293686387/1444479247669530664/1490328781997604968,1
,今日のダウンドッグの基礎作りのLIVEレッスンなんですが、21:00過ぎには子供達の寝かしつけで参加できないかもしれません😭(早く寝てくれーーー💦) アーカイブレッスンでUPしていただけると嬉しいです！！ 太もも裏、膝裏、お尻が硬いのでこの部分に効くストレッチということで是非毎日のストレッチのメニューに取り入れたいと思っております。ご検討頂けると嬉しいです！🙇‍♀️,"【タイチ】
アーカイブもちろん残しますのでご安心下さい！
僕のクラスは全てアーカイブ残りますので👍",RIE822458,タイチ,2026-04-06,https://discord.com/channels/1441619538293686387/1444479247669530664/1490669764417294467,1
,今日のLIVEレッスン 定員に達して入れませんというメッセージが出てしまいます😭,"【ナジャ1995 820889】
私もです

---

【naomi821862】
私もです💦",mari481515,"naomi821862, ナジャ1995 820889",2026-04-06,https://discord.com/channels/1441619538293686387/1444479247669530664/1490683471507619920,2
,@everyone   定員制限で一時的にお待たせしてしまった皆様申し訳ございませんでした🙏  **↑の発言ポイントつけときます🙇‍♂️**  そして今日もありがとうございました☺️ 何か明日に繋がる変化が今日もあれば嬉しいです！,"【たーくん 782461】
迅速な対応ありがとうございました🙇
ポイントの付与もありがとうございます！",タイチ,たーくん 782461,2026-04-06,https://discord.com/channels/1441619538293686387/1444479247669530664/1490711931328139325,1
,いつもお世話になっております。 レッスンの事では無いのですが、お陰様でLev.5となり特典が頂けるのですが、項目の中のヨガクッションは、膝クッションの事でしょうか？ 他は全て揃っていますので教えて頂けるとありがたいです🙏🙇,"【arumi821780】
横から失礼します。膝クッションでした😊私も他はありましたのでこちらを頂きました♪ちょうど欲しいなと思ってた所だったので嬉しかったです☺️💕

---

【mari481515】
arumiさん、KAOさん、
横入りすみません。
私もKAOさん同様ヨガクッションてなんだろう？と思ってました。
お写真のタイプの膝マット、以前ネットで見た時「硬い」という口コミがあったのですが、実際どんな感じですか？
柔らかめなら欲しいなぁと思ってます。
参考までに教えて下さい、よろしくお願いします。

---

【KAO】
arumiさん　ありがとうございます🥰🙏　助かりました✨

---

【arumi821780】
いえいえ💕

---

【arumi821780】
まだ使用してレッスンなどはしてないのですが、ヨガブロックより少しだけ柔らかい感じですかねー🧐膝を乗せると少しだけふわっと沈んで膝のお皿が収まる感じです😊私の感覚では硬いという感じはないです。他の製品を使った事がないのであくまで私の主観です。ご参考までに…🥰

---

【mari481515】
arumiさん、ありがとうございます。
答えにくい質問すみませんでした💦
でもイメージ掴めました🙋
助かりました〜🥰

---

【arumi821780】
いいえ、明確じゃなくてごめんなさい😅イメージ掴めてくれて良かったです☺️

---

【Naomi390526】
私もこれだけ持ってないのでリクエストしました🫶🏻楽しみだなぁ🥰

---

【arumi821780】
Naomiさんコメントありがとうございます😊私もまだ使ってないので使うのが楽しみです🫶🥰",KAO,"Naomi390526, KAO, arumi821780, mari481515",2026-04-08,https://discord.com/channels/1441619538293686387/1444479247669530664/1491299332853469254,9
